Altium Designer Pick and Place Locations
D:\Documents\Electronics projects\STM32F746_AppBoard\Hardware\Altium\Project Outputs\Assembly Data\Pick Place\Pick Place for STM32F746_AppBoard.csv

========================================================================================================================
File Design Information:

Date:       18/07/26
Time:       12:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R11","10K","TopLayer","0603R","69.8150","13.3320","90","Resistor"
"R10","10K","TopLayer","0603R","68.9640","15.5860","180","Resistor"
"R9","50R","TopLayer","0603R","57.6610","19.6500","0","Resistor,50,0603,1%,YAGEO"
"R8","50R","TopLayer","0603R","54.5750","15.3700","90","Resistor,50,0603,1%,YAGEO"
"R7","680R","TopLayer","0603R","7.7470","55.7530","180","Resistor"
"R6","1K0","TopLayer","0603R","7.7470","58.1660","180","Resistor"
"R5","0R0","TopLayer","0603R","63.6524","48.3006","0","Resistor"
"R4","0R0","TopLayer","0603R","63.6524","50.8000","0","Resistor"
"R3","330R","TopLayer","0603R","14.4780","46.6090","0","Resistor"
"R2","10K","TopLayer","0603R","96.5200","39.6240","180","Resistor"
"R1","10K","TopLayer","0603R","18.5420","45.8470","270","Resistor"
"P2","61302021121","TopLayer","61302021121","82.0420","5.3340","180","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 20 pins"
"P1","TSW-105-07-G-D","TopLayer","SMTC-TSW-105-07-G-D_V","68.5800","74.9300","180","Post Terminal Strip Assembly, Pitch 2.54 mm, 2 x 5 Position, Height 8.58 mm, Tail Length 2.54 mm, -55 to 125 degC, RoHS, Bulk"
"MH4","Mounting Hole","TopLayer","MountingHole_3.5mm","100.0000","75.0000","0",""
"MH3","Mounting Hole","TopLayer","MountingHole_3.5mm","5.0000","75.0000","0",""
"MH2","Mounting Hole","TopLayer","MountingHole_3.5mm","100.0000","5.0000","0",""
"MH1","Mounting Hole","TopLayer","MountingHole_3.5mm","5.0000","5.0000","0",""
"LD6","Green","TopLayer","0603D-G","99.8220","68.2752","90","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"LD5","Green","TopLayer","0603D-G","94.4880","68.2752","90","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"LD3","Green","TopLayer","0603D-G","101.2444","26.7970","0","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"LD2","Blue","TopLayer","0603D-B","3.5560","55.7530","0","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"LD1","Red","TopLayer","0603D-R","3.5560","58.1660","0","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"L2","BEAD","TopLayer","0603L","55.6260","25.6540","180","Inductor"
"L1","BEAD","BottomLayer","0603L","66.3956","35.6108","180","Inductor"
"JP2_2","","TopLayer","HDR_1x2_2R54_V_M_S","47.7420","59.4710","90",""
"JP2_1","","TopLayer","HDR_1x2_2R54_V_M_S","29.3370","59.4710","90",""
"JP1_2","","TopLayer","HDR_1x2_2R54_V_M_S","44.9480","59.4710","270",""
"JP1_1","","TopLayer","HDR_1x2_2R54_V_M_S","26.5430","59.4710","270",""
"J5","PJ-002A","TopLayer","CUI-PJ-002A_V","7.3660","63.9440","180","Through Hole Right Angle DC Power Jack, 2.5 A, 2 mm Center Pin, 3 Position, -25 to 85 degC, RoHS, Bulk"
"J3_2","691213710002","TopLayer","691213710002","5.8800","29.4640","270","213 Series 5MM Pitch Straight, Pcb Terminal Block, Through Hole, 2 Way"
"J2_2","691213710003","TopLayer","691213710003","46.3450","73.6600","180","213 Series 5MM Pitch Straight, Pcb Terminal Block, Through Hole, 3 Way"
"J2_1","691213710003","TopLayer","691213710003","27.9400","73.6600","180","213 Series 5MM Pitch Straight, Pcb Terminal Block, Through Hole, 3 Way"
"J1","615008137421","TopLayer","615008137421","41.9040","9.9040","0","Modular Jack WR-MJ, Tab Up, Shielded, with LED and EMI Panel Finger, Horizontal Entry, THT, 8P8C"
"FB1","BLM18SG121TZ1D","BottomLayer","FP-BLM18-0_15-t0_5-d1_2-MFG","94.5750","63.5000","180","Chip Ferrite Bead, 0603, 120O @ 100MHz, 25%, 0.025O, 3A"
"D2_2","PESD2CANFD24LT-QR","TopLayer","SOT95P230X110-3N","46.3550","65.1510","270","vp_PESD2CANFD24LT-Q - ESD protection for In-vehicle networks@en-us"
"D2_1","PESD2CANFD24LT-QR","TopLayer","SOT95P230X110-3N","27.9500","65.1510","270","vp_PESD2CANFD24LT-Q - ESD protection for In-vehicle networks@en-us"
"D1","ESDA6V1BC6","TopLayer","FP-SOT23-6L-MFG","97.3836","46.4058","0","TVS DIODE 5V SOT23-6"
"CN1","475900001","TopLayer","MOLEX_47590001","102.0130","42.9260","90",""
"C65","1n0","BottomLayer","0603C","17.0180","5.0800","270","Capacitor"
"C64","100n","BottomLayer","0603C","89.4080","62.6110","90","Capacitor"
"C63","2u2","BottomLayer","TAN-A","91.6940","61.9760","90","Capacitor,2.2uF,16V, X7R,10%,0805,YAGEO"
"C62","2u2","BottomLayer","TAN-A","97.5360","62.1030","90","Capacitor,2.2uF,16V, X7R,10%,0805,YAGEO"
"C61","100n","TopLayer","0603C","90.8304","75.9460","180","Capacitor"
"C60","100n","BottomLayer","0603C","82.5500","59.6900","180","Capacitor"
"C59","1u0","BottomLayer","0603C","82.5880","61.4680","0","Capacitor"
"C58","100n","BottomLayer","0603C","82.5880","66.6750","180","Capacitor"
"C57","100n","BottomLayer","0603C","12.4460","57.9120","90","Capacitor"
"C56","10u","BottomLayer","TAN-B","20.8280","54.1020","90","Tantalum Capacitor"
"C55","1u0","BottomLayer","0603C","82.5880","68.4530","0","Capacitor"
"C54","10u","BottomLayer","FP-CL32-IPC_C","15.7480","65.1510","0","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R"
"C53","100n","TopLayer","0603C","67.2084","65.7352","180","Capacitor"
"C52","1u0","TopLayer","0603C","69.7992","66.5734","90","Capacitor"
"C49_2","100n","TopLayer","0603C","20.6248","26.4922","90","Capacitor"
"C48_2","4u7","TopLayer","0603C","18.5800","26.4160","270","Capacitor"
"C47_2","100n","TopLayer","0603C","15.5320","33.5280","180","Capacitor"
"C46_2","6n8","TopLayer","0603C","15.5320","29.2100","0","Capacitor 0402 / 0603 / 0805"
"C45_2","33p","TopLayer","0603C","47.7520","68.0720","180","Capacitor"
"C45_1","33p","TopLayer","0603C","29.3470","68.0720","180","Capacitor"
"C44_2","4n7","BottomLayer","0603C","46.3550","63.5350","90","Capacitor"
"C44_1","4n7","BottomLayer","0603C","27.9500","63.5350","90","Capacitor"
"C43_2","33p","TopLayer","0603C","44.9580","68.0720","180","Capacitor"
"C43_1","33p","TopLayer","0603C","26.5530","68.0720","180","Capacitor"
"C42_2","100n","BottomLayer","0603C","46.9800","46.9474","90","Capacitor"
"C42_1","100n","BottomLayer","0603C","28.5750","46.9474","90","Capacitor"
"C41_2","4u7","BottomLayer","0603C","49.1390","47.0250","90","Capacitor"
"C41_1","4u7","BottomLayer","0603C","30.7340","47.0250","90","Capacitor"
"C40_2","100n","BottomLayer","0603C","48.2500","51.6746","270","Capacitor"
"C40_1","100n","BottomLayer","0603C","29.8450","51.6746","270","Capacitor"
"C39_2","4u7","BottomLayer","0603C","50.4090","51.5970","270","Capacitor"
"C39_1","4u7","BottomLayer","0603C","32.0040","51.5970","270","Capacitor"
"C37","30p","TopLayer","0603C","66.0558","6.0356","270","Capacitor 0402 / 0603 / 0805"
"C36","30p","TopLayer","0603C","61.9918","6.0356","270","Capacitor 0402 / 0603 / 0805"
"C35","100n","BottomLayer","0603C","24.1300","5.0800","90","Capacitor"
"C34","100n","BottomLayer","0603C","59.5630","9.5250","90","Capacitor"
"C33","100n","BottomLayer","0603C","61.0520","9.4900","90","Capacitor"
"C32","100n","BottomLayer","0603C","58.5120","16.3480","270","Capacitor"
"C31","100n","BottomLayer","0603C","56.7340","16.3480","270","Capacitor"
"C30","100n","BottomLayer","0603C","67.5640","13.9700","180","Capacitor"
"C29","1u0","BottomLayer","0603C","65.3700","9.7440","270","Capacitor"
"C28","470p","BottomLayer","0603C","63.5920","9.7440","90","Capacitor 0402 / 0603 / 0805"
"C27","10u","BottomLayer","TAN-B","56.7340","8.9820","90","Tantalum Capacitor"
"C26","100n","BottomLayer","0603C","47.5094","17.2796","0","Capacitor"
"C25","4p3","TopLayer","0603C","59.8678","41.3258","180","Capacitor"
"C24","4p3","TopLayer","0603C","59.8678","43.2308","180","Capacitor"
"C23","100n","BottomLayer","0603C","69.0880","33.5280","270","Capacitor"
"C22","100n","BottomLayer","0603C","69.8500","37.3380","0","Capacitor"
"C21","1u0","BottomLayer","0603C","69.8500","35.8140","0","Capacitor"
"C20","100n","BottomLayer","0603C","83.8200","33.9090","90","Capacitor"
"C19","100n","BottomLayer","0603C","78.7400","33.7820","90","Capacitor"
"C18","100n","BottomLayer","0603C","71.5010","30.7086","180","Capacitor"
"C17","100n","BottomLayer","0603C","69.8500","38.8620","0","Capacitor"
"C16","100n","BottomLayer","0603C","69.7992","44.9326","0","Capacitor"
"C15","100n","BottomLayer","0603C","69.8500","50.4444","0","Capacitor"
"C14","100n","BottomLayer","0603C","90.5510","56.3880","90","Capacitor"
"C13","100n","BottomLayer","0603C","90.1700","46.4566","180","Capacitor"
"C12","4u7","BottomLayer","0603C","79.7560","44.1960","90","Capacitor"
"C11","100n","BottomLayer","0603C","71.5772","54.3560","270","Capacitor"
"C10","100n","BottomLayer","0603C","77.7494","54.3814","270","Capacitor"
"C9","100n","BottomLayer","0603C","82.7786","54.3814","270","Capacitor"
"C8","100n","BottomLayer","0603C","90.0430","31.3690","270","Capacitor"
"C7","100n","BottomLayer","0603C","90.1700","40.9194","180","Capacitor"
"C6","2p0","TopLayer","0603C","58.0644","48.3108","180","Capacitor"
"C5","2p0","TopLayer","0603C","58.0644","50.8000","180","Capacitor"
"C4","100n","TopLayer","0603C","13.8430","39.4970","270","Capacitor"
"C3","2u2","BottomLayer","TAN-A","87.5030","35.0520","270","Capacitor,2.2uF,16V, X7R,10%,0805,YAGEO"
"C2","2u2","BottomLayer","TAN-A","89.0270","51.4858","0","Capacitor,2.2uF,16V, X7R,10%,0805,YAGEO"
"C1","100n","TopLayer","0603C","16.8910","45.8470","90","Capacitor"
"B2","TS40-66-33-BK-160-SMT-TR","TopLayer","PB-6X6mm-Black","7.1120","40.8940","0","SE PUSHBUTTON"
"B1","BOOT0 Button","TopLayer","PB-6X6mm-Blue","7.1120","48.7680","180","SE PUSHBUTTON"
